Generation,max
1,3.48990194
2,3.48990194
3,3.492441685
4,3.496307191
5,3.496307191
6,3.554424932
7,3.554424932
8,3.554424932
9,3.557516644
10,3.622669206
11,3.622669206
12,3.636780418
13,3.636780418
14,3.636780418
15,3.637171113
16,3.637171113
17,3.662172609
18,3.662172609
19,3.687491913
20,3.711171458
21,3.716409721
22,3.730978261
23,3.730978261
24,3.802881613
25,3.802881613
26,3.815096936
27,3.845610679
28,3.845610679
29,3.863245688
30,3.886501769
31,3.901658279
32,3.928399451
33,3.945771641
34,3.945771641
35,3.945771641
36,3.956378363
37,3.957251662
38,4.004776378
39,4.004776378
40,4.028502447
41,4.028502447
42,4.075114428
43,4.121396751
44,4.146985315
45,4.155494387
46,4.155494387
47,4.155494387
48,4.17917782
49,4.17917782
50,4.223591162
51,4.223591162
52,4.24011406
53,4.270346046
54,4.271529662
55,4.321238116
56,4.356383964
57,4.356383964
58,4.370865804
59,4.420667162
60,4.420667162
61,4.420667162
62,4.420667162
63,4.503762155
64,4.503762155
65,4.503762155
66,4.503762155
67,4.503762155
68,4.507291478
69,4.535957661
70,4.54810076
71,4.548652385
72,4.562581923
73,4.562581923
74,4.572663223
75,4.61737609
76,4.61737609
77,4.624837819
78,4.624837819
79,4.624837819
80,4.624837819
81,4.629061117
82,4.629061117
83,4.629061117
84,4.629061117
85,4.64303303
86,4.64303303
87,4.648041499
88,4.654324483
89,4.654324483
90,4.655884259
91,4.661639051
92,4.666422702
93,4.666422702
94,4.670118207
95,4.670202864
96,4.674236581
97,4.674236581
98,4.67797978
99,4.68289479
100,4.68289479
101,4.68289479
102,4.68289479
103,4.683052917
104,4.683052917
105,4.683614887
106,4.684629521
107,4.684629521
108,4.684629521
109,4.684629521
110,4.684629521
111,4.684629521
112,4.686057343
113,4.686057343
114,4.686057343
115,4.686057343
116,4.686057343
117,4.686057343
118,4.686057343
119,4.686057343
120,4.690902639
121,4.690902639
122,4.690902639
123,4.690902639
124,4.690902639
125,4.690902639
126,4.690902639
127,4.690902639
128,4.690902639
129,4.690902639
130,4.690902639
131,4.695740632
132,4.695740632
133,4.695740632
134,4.695740632
135,4.695740632
136,4.695740632
137,4.695740632
138,4.695740632
139,4.695740632
140,4.695740632
141,4.695740632
142,4.695740632
143,4.695740632
144,4.695740632
145,4.695740632
